010.000.0101.00,Ácido acetilsalicilico. Tableta. Cada tableta contiene: Acido acetilsalicílico 500 mg. Envase con 20 tabletas.
010.000.0103.00,Ácido acetilsalicilico. Tableta soluble o efervescente cada tableta soluble o efervescente contiene: acido acetilsalicílico 300 mg. envase con 20 tabletas solubles o efervescentes.
010.000.0104.00,Paracetamol. Tableta cada tableta contiene: paracetamol 500 mg. envase con 10 tabletas.
010.000.0105.00,Paracetamol. Supositorio cada supositorio contiene: paracetamol 300 mg. envase con 3 supositorios.
010.000.0106.00,Paracetamol. Solucion oral cada ml contiene: paracetamol 100 mg. envase con 15 ml gotero calibrado a 0.5 y 1 ml integrado o adjunto al envase que sirve de tapa.
010.000.0108.00,Metamizol sodico. Comprimido cada comprimido contiene: metamizol sódico 500 mg. envase con 10 comprimidos.
010.000.0109.00,Metamizol sodico. Solucion inyectable cada ampolleta contiene: metamizol sódico 1 g. envase con 3 ampolletas con 2 ml.
010.000.0113.00,Butilhioscina-metamizol. Gragea cada gragea contiene: bromuro de butilhioscina 10 mg metamizol sódico monohidrato equivalente a 250 mg de metamizol sódico. envase con 36 grageas.
010.000.0204.00,Atropina. Solucion inyectable cada ampolleta contiene: sulfato de atropina 1 mg. envase con 50 ampolletas con 1 ml.
010.000.0233.00,Sevoflurano. Liquido o solucion cada envase contiene: sevoflurano 250 ml. envase con 250 ml de líquido o solución.
010.000.0244.00,"PROPOFOL. EMULSION INYECTABLE Cada ampolleta o frasco ámpula contiene: Propofol 200 mg. En solución con aceite de soya, fosfátido de huevo o lecitina de huevo y glicerol. Envase con 5 ampolletas o frascos ámpula de 20 mL."
010.000.0245.00,"PROPOFOL. EMULSION INYECTABLE Cada frasco ámpula o jeringa contiene: Propofol 500 mg. En solución con aceite de soya, fosfátido de huevo o lecitina de huevo y glicerol. Envase con un frasco ámpula o jeringa de 50 mL."
010.000.0246.00,PROPOFOL. EMULSIÓN INYECTABLE Cada ampolleta o frasco ámpula contiene: Propofol  200 mg. En emulsión con o sin edetato disódico (dihidratado). Envase con 5 ampolletas o frascos ámpula de 20 mL.
010.000.0260.02,Lidocaína. Gel. Cada ml contiene: Clorhidrato de lidocaína 20 mg Envase con 30 ml.
010.000.0261.00,Lidocaína. Solución Inyectable al 1%. Cada frasco ámpula contiene: Clorhidrato de lidocaína 500 mg Envase con 5 frascos ámpula de 50 ml.
010.000.0262.00,Lidocaína. Solución Inyectable al 2%. Cada frasco ámpula contiene: Clorhidrato de lidocaína 1 g Envase con 5 frascos ámpula con 50 ml
010.000.0264.00,Lidocaína. Solución al 10%. Cada 100 ml contiene: Lidocaína 10.0 g Envase con 115 ml con atomizador manual.
010.000.0265.00,Lidocaína epinefrina. Solución Inyectable al 2% Cada frasco ámpula contiene: Clorhidrato de lidocaína 1 g Epinefrina (1:200000) 0.25 mg Envase con 5 frascos ámpula con 50 ml.
010.000.0267.00,Lidocaína epinefrina. Solución Inyectable al 2% Cada cartucho dental contiene: Clorhidrato de lidocaína 36 mg Epinefrina (1:100000) 0.018 mg Envase con 50 cartuchos dentales con 1.8 ml.
010.000.0270.00,Ropivacaina. Solución Inyectable Cada ampolleta contiene: Clorhidrato de ropivacaína monohidratada equivalente a 150 mg de clorhidrato de ropivacaina. Envase con 5 ampolletas con 20 ml.
010.000.0291.00,Neostigmina. Solución Inyectable Cada ampolleta contiene: Metilsulfato de neostigmina 0.5 mg Envase con 6 ampolletas con 1 ml.
010.000.0402.00,Clorfenamina. Tableta. Cada tableta contiene: Maleato de clorfenamina 4.0 mg Envase con 20 Tabletas.
010.000.0405.00,Difenhidramina. Jarabe. Cada 100 mililitros contienen: Clorhidrato de difenhidramina 250 mg. Envase con 60 ml.
010.000.0406.00,Difenhidramina. Solución inyectable. Cada frasco ámpula contiene: Clorhidrato de difenhidramina 100 mg. Envase con frasco ámpula de 10 ml.
010.000.0408.00,Clorfenamina. Jarabe. Cada mililitro contiene: Maleato de clorfenamina 0.5 mg Envase con 60 ml.
010.000.0429.00,Salbutamol. Suspensión en aerosol. Cada inhalador contiene: Salbutamol 20 mg o Sulfato de salbutamol equivalente a 20 mg de salbutamol Envase con inhalador con 200 dosis de 100  µg.
010.000.0431.00,Salbutamol. Jarabe Cada 5 ml contienen: Sulfato de salbutamol equivalente a 2 mg de salbutamol Envase con 60 ml.
010.000.0437.00,Teofilina. Comprimido o Tableta o Cápsula de Liberación Prolongada Cada Comprimido Tableta o Cápsula contiene: Teofilina anhidra 100 mg Envase con 20 Comprimidos o Tabletas o Cápsulas de Liberación Prolongada.
010.000.0439.00,Salbutamol. Solución para nebulizador. Cada 100 ml contienen: Sulfato de salbutamol 0.5 g. Envase con 10 ml.
